,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,poum,-20.23,164.02,74.64,66,0,4.36,NC,1603232142
196,alpine,32.84,-116.77,82.99,50,5,5.82,US,1603232142
197,saurimo,-9.66,20.39,68.14,65,26,5.1,AO,1603232142
198,phan rang,19.55,99.74,69.8,100,75,5.82,TH,1603232142
199,kemijarvi,66.71,27.43,29.98,98,100,2.28,FI,1603232143
200,thompson,55.74,-97.86,30.2,68,90,2.24,CA,1603232143
201,warmbad,-28.45,18.73,60.04,29,0,9.86,NA,1603232143
202,carnarvon,-24.87,113.63,66.2,77,53,12.75,AU,1603231862
203,lata,40.16,-8.33,62.01,95,100,8.99,PT,1603232143
204,ketchikan,55.34,-131.65,46.4,87,75,5.82,US,1603232144
205,spornoye,50.84,37.29,35.6,82,0,6.71,RU,1603232144
206,ilulissat,69.22,-51.1,35.6,80,100,12.75,GL,1603232095
207,hokitika,-42.72,170.97,51.87,72,35,3.4,NZ,1603232144
208,eenhana,-17.47,16.33,86,13,8,8.05,NA,1603232144
209,souillac,-20.52,57.52,75.2,73,20,9.17,MU,1603232145
210,dukat,62.55,155.55,8.69,94,81,2.1,RU,1603232145
211,katsuura,35.13,140.3,59,72,20,14.99,JP,1603231933
212,georgetown,5.41,100.34,78.8,94,20,1.12,MY,1603231864
213,bathsheba,13.22,-59.52,84.2,70,20,9.17,BB,1603232145
214,kodiak,57.79,-152.41,46.4,49,1,16.11,US,1603232145
215,miraflores,19.22,-98.81,75.2,25,40,9.17,MX,1603232146
216,jalu,29.03,21.55,69.73,62,0,14.79,LY,1603232078
217,arawa,-6.21,155.54,84.2,68,86,2.33,PG,1603232146
218,asau,46.43,26.4,39.2,93,0,3.36,RO,1603232146
219,shirokiy,49.76,129.52,42.82,78,100,15.08,RU,1603232147
220,roma,43.21,-75.46,51.8,87,90,1.43,US,1603232147
221,bandarbeyla,9.49,50.81,78.58,73,0,6.76,SO,1603231847
222,san patricio,13.3,-4.9,85.57,27,0,2.48,ML,1603232147
223,mansa,29.98,75.38,67.35,24,0,4.41,IN,1603232147
224,santa vitoria do palmar,17.49,120.43,78.64,83,100,7.81,PH,1603232128
225,saint-denis,48.92,2.33,57.2,93,90,8.05,FR,1603232148
226,lagoa,39.05,-27.98,63.27,67,58,27.69,PT,1603232090
227,eureka,40.8,-124.16,77,69,3,10,US,1603232054
228,bilibino,68.05,166.44,18.79,94,76,2.04,RU,1603232123
229,malindi,-3.22,40.12,78.01,82,8,10.69,KE,1603232149
230,kendari,-3.94,122.5,74.57,85,100,2.1,ID,1603232149
231,nome,64.5,-165.41,35.6,80,75,5.82,US,1603231871
232,mahebourg,-20.41,57.7,75.2,78,20,11.41,MU,1603231871
233,yeniseysk,58.45,92.17,33.98,96,100,5.23,RU,1603232150
234,nikolskoye,59.7,30.79,34,93,40,4.47,RU,1603231860
235,east london,65,-15,26.6,86,40,9.17,IS,1603232150
236,laguna,38.42,-121.42,90,22,5,6.93,US,1603231874
237,narsaq,60.92,-46.05,32,89,99,2.82,GL,1603232151
238,hualmay,-11.1,-77.61,66.13,73,23,8.68,PE,1603232151
239,catuday,16.29,119.81,78.19,90,100,35.61,PH,1603232151
240,lompoc,34.64,-120.46,64.4,72,1,16.11,US,1603232151
241,margate,51.38,1.39,59,87,100,5.01,GB,1603232151
242,novikovo,51.15,37.89,38.01,79,0,8.57,RU,1603232152
243,vestmannaeyjar,63.44,-20.27,38.05,73,95,9.06,IS,1603232152
244,vao,-22.67,167.48,72.99,83,42,14.63,NC,1603231891
245,tula,54.2,37.61,33.46,92,0,11.21,RU,1603231985
246,ustye,59.63,39.74,30.13,96,13,9.19,RU,1603232152
247,ust-barguzin,53.45,108.98,28.56,88,100,1.25,RU,1603232153
248,conner,17.8,121.33,75.76,90,100,1.03,PH,1603232153
249,cherskiy,68.75,161.3,21.76,98,94,6.33,RU,1603231588
250,san juan nepomuceno,13.3,-4.9,85.57,27,0,2.48,ML,1603232094
251,manbij,36.53,37.95,59,58,0,2.48,SY,1603232154
252,grand centre,38.88,-109.5,78.01,12,1,4.7,US,1603232134
253,bengkulu,-3.8,102.27,76.69,79,100,3.47,ID,1603232154
254,kishtwar,33.32,75.77,48.76,49,0,2.98,IN,1603232154
255,shediac,46.22,-64.54,59,62,75,11.41,CA,1603232154
256,ust-kan,50.93,84.76,32.25,79,56,3.71,RU,1603232155
257,deputatskiy,69.3,139.9,9.7,97,100,2.66,RU,1603231960
258,abu dhabi,24.6,72.7,69.53,87,23,1.01,IN,1603232155
259,upernavik,72.79,-56.15,33.67,86,100,4.16,GL,1603232155
260,port moresby,-7.03,29.76,76.37,64,58,7.38,CD,1603232155
261,sinnamary,5.38,-52.95,81.16,76,100,13.62,GF,1603232155
262,ferme-neuve,46.7,-75.45,39.36,81,96,2.46,CA,1603232156
263,sault sainte marie,44.09,5.41,59,58,76,8.05,FR,1603232156
264,songjianghe,42.19,127.48,41.95,66,100,5.75,CN,1603232156
265,portland,45.52,-122.68,64,55,75,6.93,US,1603231899
266,yenagoa,4.92,6.26,76.93,92,83,4.41,NG,1603232156
267,wasilla,61.58,-149.44,35.01,83,1,2.39,US,1603232148
268,campobello di mazara,35.12,-82.15,73.99,77,59,2.59,US,1603232157
269,chokurdakh,70.63,147.92,10.69,97,87,3.69,RU,1603232048
270,sitka,57.05,-135.33,46.4,70,20,5.88,US,1603231870
271,lavrentiya,65.58,-171,37.85,95,100,13.13,RU,1603231928
272,valer,60.68,11.83,39.99,100,90,2.24,NO,1603232158
273,bilma,18.69,12.92,79.9,16,0,4.07,NE,1603232158
274,pombas,17.15,-25.02,82.4,74,75,19.46,CV,1603232159
275,narrabri,-30.32,149.78,64.4,68,90,5.82,AU,1603232159
276,duluth,46.78,-92.11,32,100,90,3.36,US,1603232159
277,sao filipe,20.51,76.21,73.22,84,36,2.98,IN,1603232159
278,husavik,66.04,-17.34,23,92,87,2.24,IS,1603231896
279,beyneu,45.32,55.2,44.78,67,19,10.07,KZ,1603232160
280,cabo san lucas,-8.28,-35.03,80.6,69,40,11.41,BR,1603232160
281,panalingaan,8.78,117.42,78.91,84,98,5.53,PH,1603232160
282,port blair,-7.03,29.76,76.37,64,58,7.38,CD,1603232114
283,mount isa,53.66,-1.85,55.99,90,65,1.01,GB,1603232161
284,manavgat,36.79,31.44,68,72,75,13.87,TR,1603232161
285,mastung,29.8,66.84,43.9,46,0,2.28,PK,1603232161
286,borba,-4.39,-59.59,87.1,49,77,2.15,BR,1603232009
287,west bay,31.8,-97.09,87.8,43,40,11.41,US,1603232162
288,qaanaaq,77.48,-69.36,20.57,83,0,6.49,GL,1603232162
289,stanger,-29.33,31.29,64.4,82,76,3.36,ZA,1603232162
290,makakilo city,21.35,-158.09,84.2,78,75,6.93,US,1603232163
291,kyren,51.68,102.14,26.06,82,40,0.87,RU,1603232163
292,flin flon,48.5,6.66,59,54,100,9.17,FR,1603232163
293,altay,47.87,88.12,36.14,68,5,3.36,CN,1603232163
294,buala,-8.14,159.59,84.49,71,96,6.46,SB,1603232164
295,tuatapere,-46.13,167.68,53.01,69,12,7,NZ,1603231865
296,yeppoon,-23.13,150.73,75.2,64,40,5.82,AU,1603232164
297,sabang,5.89,95.32,82.38,77,83,14.81,ID,1603231971
298,faanui,-16.48,-151.75,78.94,81,43,17.25,PF,1603232164
299,biloela,-24.42,150.5,72.61,69,45,7.31,AU,1603232122
300,ati,13.22,18.34,87.82,13,0,7.72,TD,1603232165
301,shiyan,32.65,110.78,53.29,78,41,6.11,CN,1603232165
302,iwanai,42.97,140.51,45.23,66,0,5.28,JP,1603232036
303,biak,-0.91,122.88,76.23,76,97,5.12,ID,1603232166
304,whitehorse,60.72,-135.05,23,57,75,9.17,CA,1603231938
305,puerto escondido,36.59,-6.23,66.2,93,20,14.99,ES,1603232166
306,puerto montt,36.59,-6.23,66.2,93,20,14.99,ES,1603232166
307,olinda,-8.01,-34.86,80.6,69,40,11.41,BR,1603232167
308,beringovskiy,63.05,179.32,40.95,87,99,13.22,RU,1603231924
309,matara,5.95,80.54,77.67,89,14,9.69,LK,1603232167
310,moramanga,-18.93,48.2,62.46,91,99,1.88,MG,1603232167
311,yerbogachen,61.28,108.01,21.07,97,99,7.49,RU,1603232161
312,flinders,-34.58,150.86,64.99,80,13,5.01,AU,1603231944
313,ambilobe,-13.2,49.05,73.94,76,11,3.33,MG,1603232168
314,sioux lookout,42.73,-96.23,42.01,93,90,11.41,US,1603232168
315,anuradhapura,8.36,80.42,77.09,85,30,10.56,LK,1603232168
316,omboue,-1.57,9.26,77,87,99,5.84,GA,1603231937
317,norman wells,35.22,-97.44,77,65,1,11.41,US,1603231997
318,lugazi,0.38,32.92,71.6,83,20,5.82,UG,1603232169
319,pangnirtung,66.15,-65.71,26.6,92,90,3.36,CA,1603231922
320,jibuti,11.5,42.5,82.4,58,1,6.44,DJ,1603231959
321,ligayan,4.65,119.47,83.68,71,100,6.24,PH,1603232170
322,wanning,18.8,110.4,71.33,90,85,13.76,CN,1603232100
323,jizan,17.33,42.67,82.4,74,0,6.93,SA,1603232170
324,eisenach,50.98,10.32,57,80,100,6.98,DE,1603232170
325,touros,-5.2,-35.46,78.8,74,20,6.93,BR,1603231979
326,imbituba,-28.24,-48.67,77,78,20,4.7,BR,1603232171
327,kutoarjo,-7.72,109.91,77.76,87,100,2.62,ID,1603232171
328,tongliao,43.61,122.27,49.91,44,93,19.17,CN,1603232171
329,hofn,64.25,-15.21,36.25,76,1,8.63,IS,1603232171
330,siddapur,14.33,74.88,69.48,100,100,1.9,IN,1603232172
331,karratha,-20.74,116.85,66.31,67,47,9.1,AU,1603232150
332,volgodonsk,47.51,42.15,45.54,56,21,7.65,RU,1603232172
333,lewistown,40.6,-77.57,68,82,90,1.57,US,1603232173
334,wageningen,51.97,5.67,57.99,93,75,11.41,NL,1603232173
335,namatanai,-3.67,152.43,82.63,72,39,2.66,PG,1603231912
336,shubarkuduk,49.14,56.49,40.55,71,2,9.19,KZ,1603232173
337,hvolsvollur,63.75,-20.22,28,91,93,1.01,IS,1603232173
338,araouane,18.9,-3.53,88.05,14,0,6.15,ML,1603232174
339,anadyr,64.75,177.48,42.8,81,40,13.42,RU,1603232174
340,talnakh,69.49,88.4,5,92,40,2.24,RU,1603232174
341,sedona,34.87,-111.76,86,8,1,8.05,US,1603232174
342,hamada,34.88,132.08,57.99,36,89,1.01,JP,1603232174
343,tarko-sale,64.92,77.78,27.46,99,100,6.85,RU,1603232174
344,mys shmidta,62.06,48.62,30.78,99,100,2.62,RU,1603232175
345,dunedin,-45.87,170.5,46.99,90,100,5.99,NZ,1603232175
346,litovko,49.24,135.17,33.21,90,95,3.13,RU,1603231927
347,chicama,-7.84,-79.15,71.24,61,18,7.99,PE,1603232175
348,porirua,-41.13,174.85,62.01,79,96,10,NZ,1603232175
349,north bend,50.33,3.67,57,99,100,4,FR,1603232130
350,singaraja,-8.11,115.09,79.38,62,0,3,ID,1603232176
351,denpasar,-8.65,115.22,78.8,94,20,1.12,ID,1603232010
352,vila,42.03,-8.16,54,95,100,7,PT,1603232176
353,nantucket,41.28,-70.1,63,100,75,8.05,US,1603232036
354,dongsheng,39.82,109.98,28.53,79,0,7.49,CN,1603232176
355,itaituba,-4.28,-55.98,87.73,45,100,1.23,BR,1603232177
356,brasschaat,51.29,4.5,57.99,87,100,10.29,BE,1603232177
357,saint-georges,12.06,-61.75,86,70,20,20.8,GD,1603232177
358,hami,42.8,93.45,44.94,52,0,3.49,CN,1603232105
359,airai,-8.93,125.41,62.1,74,96,1.86,TL,1603231935
360,chimbarongo,-34.7,-71.05,77,29,0,11.41,CL,1603232178
361,katherine,-14.47,132.27,84.2,66,0,5.82,AU,1603231918
362,sankeshwar,16.27,74.48,71.2,91,100,5.01,IN,1603232178
363,taybad,34.74,60.78,55.51,30,0,11.92,IR,1603232098
364,namtsy,62.72,129.67,17.6,92,75,4.47,RU,1603232178
365,shuangyang,43.52,125.67,55.4,50,40,15.66,CN,1603232179
366,huambo,-12.78,15.74,67.19,36,27,0.76,AO,1603232179
367,ende,0,0,73.99,96,99,8.88,ID,1603232179
368,tabou,-8.84,121.66,78.06,72,95,1.12,CI,1603232179
369,kuala terengganu,4.42,-7.35,77.32,83,78,7.45,ID,1603232180
370,maceio,3.38,98.62,78.8,94,40,4.7,BR,1603231992
371,adrar,-9.67,-35.74,75.2,78,10,8.05,MR,1603232180
372,toyooka,20.5,-10.07,86.38,15,0,7.07,JP,1603232180
373,khromtau,35.53,134.83,51.8,87,40,9.17,KZ,1603232180
374,codrington,50.25,58.43,39.36,73,28,17.98,AU,1603231909
375,penzance,-38.27,141.97,52.16,82,22,3.18,GB,1603232181
376,cavalcante,50.12,-5.54,57.2,93,40,12.75,BR,1603232125
377,coquimbo,-13.8,-47.46,76.37,64,98,2.73,CL,1603231913
378,vanimo,-29.95,-71.34,57.2,82,75,13.87,PG,1603232182
379,kerouane,-2.67,141.3,79.88,83,98,3.98,GN,1603232182
380,srednekolymsk,9.27,-9.02,71.62,87,44,1.19,RU,1603231932
381,nuuk,67.45,153.68,15.6,96,94,5.46,GL,1603232165
382,puerto ayora,64.18,-51.72,35.6,80,75,14.99,ES,1603232166
383,gadarwara,36.59,-6.23,66.2,93,20,14.99,IN,1603232182
384,grootfontein,22.92,78.78,74.07,62,0,3.98,NA,1603232183
385,tucumcari,-19.57,18.12,70.25,22,3,4.61,US,1603232183
386,nichinan,35.17,-103.72,89.01,9,0,1.01,JP,1603232183
387,yar-sale,31.6,131.37,59,82,40,5.82,RU,1603231919
388,uren,66.83,70.83,25.48,98,100,4.32,RU,1603232184
389,dudinka,57.46,45.79,31.55,98,28,8.52,RU,1603231937
390,stykkisholmur,69.41,86.18,5,92,40,2.24,IS,1603232184
391,boyuibe,65.08,-22.73,38.57,93,100,8.75,BO,1603232185
392,olavarria,-20.42,-63.28,81.68,52,40,4.41,AR,1603232185
393,lensk,-36.89,-60.32,61,48,15,5.01,RU,1603232185
